time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-18T15:23:53.880Z,44.744,-110.9933333,9.92,2.66,ml,22,49,0.01785,0.21,uu,uu60269982,2018-05-15T06:29:15.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.4,0.68,0.098,4,reviewed,uu,uu
2018-02-18T15:17:17.100Z,44.7446667,-110.9926667,10.31,2.93,ml,28,49,0.01753,0.2,uu,uu60269962,2018-05-15T06:29:15.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.37,0.53,0.101,4,reviewed,uu,uu
2018-02-18T14:17:07.210Z,44.7415,-110.9895,10.12,2.7,ml,28,66,0.02142,0.21,uu,uu60269887,2018-05-15T06:29:15.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.39,0.63,0.336,5,reviewed,uu,uu
2018-02-18T13:49:55.090Z,44.7455,-110.9848333,9.85,2.91,ml,28,48,0.02055,0.19,uu,uu60269872,2018-05-15T06:29:14.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.35,0.59,0.117,4,reviewed,uu,uu
2018-02-18T09:16:46.780Z,44.7383333,-110.9853333,7.18,2.6,ml,20,76,0.02571,0.14,uu,uu60269602,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.27,0.65,0.145,4,reviewed,uu,uu
2018-02-18T06:10:15.300Z,44.7381667,-110.9878333,6,2.69,ml,12,72,0.02487,0.12,uu,uu60269402,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.4,0.8,0.149,4,reviewed,uu,uu
2018-02-18T05:55:30.780Z,44.7315,-110.9783333,6.28,2.6,ml,15,80,0.03417,0.11,uu,uu60269372,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.24,0.81,0.05,2,reviewed,uu,uu
2018-02-18T05:53:02.480Z,44.7443333,-110.9946667,9.97,2.89,md,31,50,0.01709,0.19,uu,uu60269362,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.31,0.54,0.338,12,reviewed,uu,uu
2018-02-18T05:37:46.530Z,44.746,-110.9903333,9.89,3.11,md,32,67,0.01746,0.19,uu,uu60269347,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.33,0.53,0.364,14,reviewed,uu,uu
2018-02-18T05:32:53.480Z,44.7343333,-110.9841667,6.56,2.54,ml,14,92,0.0295,0.14,uu,uu60269337,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.31,0.85,0.035,2,reviewed,uu,uu
2018-02-18T05:30:59.010Z,44.7406667,-110.9856667,7.05,2.57,ml,14,86,0.0237,0.1,uu,uu60269327,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.28,0.61,0.091,2,reviewed,uu,uu
2018-02-18T04:47:55.510Z,44.7403333,-110.9815,5.87,2.6,ml,11,89,0.02588,0.13,uu,uu60014784,2018-05-15T06:29:14.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.35,1.27,0.004,2,reviewed,uu,uu
2018-02-18T04:28:28.670Z,44.7426667,-110.9865,9.15,2.73,ml,21,66,0.02177,0.21,uu,uu60269242,2018-05-15T06:29:14.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.42,0.78,0.126,4,reviewed,uu,uu
2018-02-17T17:48:40.010Z,44.7433333,-111.0001667,9.05,2.66,ml,24,51,0.01656,0.22,uu,uu60268892,2018-05-15T06:29:13.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.36,0.67,0.082,5,reviewed,uu,uu
2018-02-15T18:41:06.020Z,44.7378333,-111.007,8.44,2.58,ml,21,54,0.0215,0.13,uu,uu60268292,2018-05-15T06:29:08.040Z,"11km NE of West Yellowstone, Montana",earthquake,0.29,0.72,0.144,4,reviewed,uu,uu
2018-02-01T13:31:44.420Z,43.1373,-110.8479,5,3.5,ml,,82,0.225,0.5,us,us1000cdp2,2018-05-11T12:16:53.583Z,"16km SSW of Hoback, Wyoming",earthquake,1.1,1.9,0.039,85,reviewed,us,us
2018-01-27T01:41:06.790Z,42.5689,-111.4379,9.23,2.6,ml,,63,0.105,1.03,us,us2000cq83,2018-04-20T07:05:28.040Z,"16km SE of Soda Springs, Idaho",earthquake,1.4,7.9,0.053,46,reviewed,us,us
2018-01-26T05:40:25.640Z,42.5405,-111.3951,10,3.3,ml,,58,0.066,0.43,us,us2000cpmq,2018-04-20T07:05:25.040Z,"21km SE of Soda Springs, Idaho",earthquake,1.9,1.9,0.055,44,reviewed,us,us
2018-01-26T03:32:08.570Z,42.5327,-111.3893,10,4.4,mwr,,41,0.057,0.73,us,us2000cpkg,2018-07-01T18:40:12.795Z,"22km SE of Soda Springs, Idaho",earthquake,3.3,2,0.034,82,reviewed,us,us
2018-01-07T04:20:42.120Z,42.9508,-111.0172,5,2.6,ml,,98,0.195,0.41,us,us1000c1md,2018-03-23T23:16:53.040Z,"26km NNW of Afton, Wyoming",earthquake,1.3,1.9,0.057,40,reviewed,us,us
2017-12-16T21:18:22.710Z,42.5782,-111.4314,9.48,2.5,ml,,63,0.111,0.47,us,us2000c5b0,2018-03-06T00:49:45.040Z,"16km ESE of Soda Springs, Idaho",earthquake,3,8.5,0.056,42,reviewed,us,us
2017-11-30T20:53:51.730Z,42.5934,-111.4042,5.7,3.2,ml,,40,0.159,0.6,us,us1000bjjy,2018-02-20T09:06:09.040Z,"17km ESE of Soda Springs, Idaho",earthquake,1.5,7.1,0.037,98,reviewed,us,us
2017-11-05T19:58:11.200Z,42.5891,-111.4262,9.35,3.4,ml,,63,0.147,0.54,us,us2000bixr,2018-01-31T03:04:39.040Z,"16km ESE of Soda Springs, Idaho",earthquake,1.5,8.6,0.041,80,reviewed,us,us
2017-11-03T10:43:15.270Z,42.6111,-111.4293,8.56,4,mwr,,71,0.136,0.29,us,us2000bhn0,2018-01-24T01:25:07.040Z,"15km ESE of Soda Springs, Idaho",earthquake,1.1,6.5,0.034,84,reviewed,us,us
2017-11-01T17:24:26.150Z,42.5952,-111.4315,6.98,3,ml,,65,0.14,0.21,us,us1000b003,2018-01-24T01:25:04.040Z,"15km ESE of Soda Springs, Idaho",earthquake,0.9,5.5,0.036,100,reviewed,us,us
2017-10-29T19:35:50.050Z,42.5462,-111.4097,10,2.5,ml,,92,0.18,0.42,us,us1000ayka,2018-01-24T01:24:58.040Z,"20km SE of Soda Springs, Idaho",earthquake,2,2,0.042,76,reviewed,us,us
2017-10-20T21:17:42.230Z,42.5365,-111.4243,8.64,2.7,ml,,53,0.052,0.46,us,us1000aux8,2018-01-11T02:22:10.040Z,"19km SE of Soda Springs, Idaho",earthquake,1.2,2,0.042,74,reviewed,us,us
2017-10-20T16:38:42.520Z,42.5585,-111.4045,8.76,2.9,ml,,43,0.044,0.46,us,us1000auql,2018-01-11T02:22:09.040Z,"19km ESE of Soda Springs, Idaho",earthquake,1.5,2.8,0.043,70,reviewed,us,us
